"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-03","2023","01","0.0002550908","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-04","2023","01","0.0002550908","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-05","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-06","2023","01","0.0042345081","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-07","2023","01","0.0043365444","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-08","2023","01","0.0001454341","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-09","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-10","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-11","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-13","2023","01","0.0091199138","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-12","2023","01","0.0065517564","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-14","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-15","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-17","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-18","2023","01","0.0045182207","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-19","2023","01","0.0042855262","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-20","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-21","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-22","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-23","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-01-24","2023","01","0.0119064926","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-01","2023","01","0.0028159103","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-02","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-03","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-04","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-05","2023","01","NA","NRSC VIC MODEL"
