"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Barak and Others Basin","Barak","2022-12-22","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-23","2022","12","6.6647E-6","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-24","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-25","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-26","2022","12","0.0195316389","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-27","2022","12","1.5292415205","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-28","2022","12","0.8160586467","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-01","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-02","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-03","2022","12","0.0022495601","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-04","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-05","2022","12","0.0124698201","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-06","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-07","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-09","2022","12","0.0001454341","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-11","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-10","2022","12","0.002870279","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-12","2022","12","0.0002036077","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-13","2022","12","0.0006689967","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-14","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-15","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-16","2022","12","0.0006309323","NRSC VIC MODEL"
