"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Barak and Others Basin","Barak","2022-10-20","2022","10","0.0136351473","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-10-19","2022","10","1.8327697363","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-10-21","2022","10","0.0022697076","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-10-22","2022","10","0.0025525769","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-10-23","2022","10","0.1111510676","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-10-24","2022","10","36.1053310718","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-10-25","2022","10","20.9254495557","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-10-26","2022","10","1.0018328218","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-10-27","2022","10","0.0277373259","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-10-28","2022","10","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-02","2022","10","12.2067299892","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-01","2022","10","65.5344871892","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-03","2022","10","22.819853074","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-04","2022","10","5.3809303622","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-05","2022","10","3.3553255043","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-06","2022","10","1.910993214","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-07","2022","10","0.8579484989","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-08","2022","10","2.1476001474","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-09","2022","10","21.3806347086","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-10","2022","10","11.5605756187","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-11","2022","10","49.1477651991","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-12","2022","10","26.8680598324","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-13","2022","10","15.0063009389","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-14","2022","10","4.302034749","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-15","2022","10","0.2665343255","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-16","2022","10","0.0042519459","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-17","2022","10","0.0017626242","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-18","2022","10","0.459746451","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-20","2022","10","0.0014795269","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-19","2022","10","1.80266E-5","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-21","2022","10","0.0038773809","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-22","2022","10","0.0009624409","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-23","2022","10","0.0689614434","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-24","2022","10","22.580616474","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-25","2022","10","92.3945252239","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-26","2022","10","3.7788292526","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-27","2022","10","0.1531956115","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-10-28","2022","10","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-02","2022","10","56.1119638389","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-01","2022","10","101.3901232386","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-03","2022","10","21.0066721756","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-04","2022","10","9.7689126607","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-05","2022","10","18.029629791","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-06","2022","10","0.7267932622","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-07","2022","10","2.1659348579","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-08","2022","10","0.1075919117","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-09","2022","10","6.1752152879","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-10","2022","10","4.4133359716","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-11","2022","10","3.1895406316","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-12","2022","10","3.3431970963","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-13","2022","10","4.4906073951","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-14","2022","10","4.4534538627","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-15","2022","10","0.0345784566","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-16","2022","10","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-17","2022","10","0.0370584433","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-18","2022","10","0.7512617954","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-20","2022","10","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-19","2022","10","0.1396953477","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-21","2022","10","0.0003327094","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-22","2022","10","0.0003564744","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-23","2022","10","0.282456703","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-24","2022","10","58.1094654872","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-25","2022","10","51.8911552876","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-26","2022","10","0.1593346756","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-27","2022","10","0.001304797","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-10-28","2022","10","NA","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-02","2022","10","1.5219521825","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-01","2022","10","8.6445213066","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-03","2022","10","7.2812187118","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-04","2022","10","6.1199210116","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-05","2022","10","9.7486615309","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-06","2022","10","9.3938951789","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-07","2022","10","3.4600157041","NRSC VIC MODEL"
